coach,year,team,position,squad
Matt Viator,1987,Sam Houston HS (LA),Asst,1987 Sam Houston HS (LA)
Scott Satterfield,1987,Weber State,WR,1987 Weber State
Ed Orgeron,1987,Arkansas,Asst Strength,1987 Arkansas
Doc Holliday,1987,West Virginia,WR,1987 West Virginia
Chuck Martin,1987,Millikin,player,1987 Millikin
Jim Harbaugh,1987,Bears,player,1987 Bears
Rick Stockstill,1987,Central Florida,WR,1987 Central Florida
Mike Leach,1987,Cal Poly,OL,1987 Cal Poly
Ken Niumatalolo,1987,Hawaii,player,1987 Hawaii
Jay Norvell,1987,Iowa,GA,1987 Iowa
Doug Martin,1987,Kentucky,GA,1987 Kentucky
Mack Brown,1987,Tulane,HC,1987 Tulane
Brian Kelly,1987,Grand Valley State,DB,1987 Grand Valley State
Frank Solich,1987,Nebraska,RB,1987 Nebraska
Mike Gundy,1987,Oklahoma State,player,1987 Oklahoma State
Pat Narduzzi,1987,Rhode Island,player,1987 Rhode Island
Brady Hoke,1987,Toledo,LB,1987 Toledo
Steve Campbell,1987,Troy State,player,1987 Troy State
Dino Babers,1987,Eastern Illinois,RB,1987 Eastern Illinois
Gary Patterson,1987,Cal Lutheran,DC,1987 Cal Lutheran
Jimbo Fisher,1987,Samford,player,1987 Samford
Willie Fritz,1987,Coffeyville CC,DC,1987 Coffeyville CC
Kyle Whittingham,1987,Eastern Utah,DC,1987 Eastern Utah
Dana Dimel,1987,Kansas State,GA,1987 Kansas State
Bronco Mendenhall,1987,Oregon State,player,1987 Oregon State
Dave Clawson,1987,Williams,player,1987 Williams
Paul Chryst,1987,Wisconsin,player,1987 Wisconsin
Craig Bohl,1987,Wisconsin,LB,1987 Wisconsin
Bo Pelini,1987,Ohio State,player,1987 Ohio State
Bob Davie,1987,Texas A&M,OLB,1987 Texas A&M
Bob Stoops,1987,Iowa,Asst,1987 Iowa
Bobby Petrino,1987,Weber State,WR,1987 Weber State
Charlie Strong,1987,Southern Illinois,WR,1987 Southern Illinois
Chris Petersen,1987,UC Davis,freshman,1987 UC Davis
Rocky Long,1987,BC Lions,LB,1987 BC Lions
Urban Meyer,1987,Ohio State,GA,1987 Ohio State
Mark Dantonio,1987,Youngstown State,DC,1987 Youngstown State
Troy Calhoun,1986,Air Force,player,1986 Air Force
Nick Saban,1986,Michigan State,DC,1986 Michigan State
Kevin Sumlin,1986,Purdue,player,1986 Purdue
Herm Edwards,1986,Rams,player,1986 Rams
Sam Pittman,1986,Beggs HS (OK),OC,1986 Beggs HS (OK)
Jeff Monken,1986,Millikin,player,1986 Millikin
Lance Leipold,1986,Wisconsin Whitewater,player,1986 Wisconsin Whitewater
Jim McElwain,1986,Eastern Washington,GA,1986 Eastern Washington
Steve Addazio,1986,Western Connecticut State,OL,1986 Western Connecticut State
Randy Edsall,1986,Syracuse,RB,1986 Syracuse
David Cutcliffe,1986,Tennessee,TE,1986 Tennessee
Butch Davis,1986,Miami FL,DL,1986 Miami FL
Lovie Smith,1986,Tulsa,LB,1986 Tulsa
Kirk Ferentz,1986,Iowa,OL,1986 Iowa
Les Miles,1986,Colorado,OL,1986 Colorado
Chris Klieman,1986,Northern Iowa,player,1986 Northern Iowa
Mark Stoops,1986,Iowa,player,1986 Iowa
Skip Holtz,1986,Notre Dame,player,1986 Notre Dame
Matt Viator,1986,Sam Houston HS (LA),Asst,1986 Sam Houston HS (LA)
Scott Satterfield,1986,Carroll (MT),OC,1986 Carroll (MT)
Ed Orgeron,1986,Arkansas,Asst Strength,1986 Arkansas
Doc Holliday,1986,West Virginia,WR,1986 West Virginia
Jim Harbaugh,1986,Michigan,player,1986 Michigan
Rick Stockstill,1986,Central Florida,WR,1986 Central Florida
Jay Norvell,1986,Iowa,GA,1986 Iowa
Doug Martin,1986,Kentucky,GA,1986 Kentucky
Mack Brown,1986,Tulane,HC,1986 Tulane
Brian Kelly,1986,Assumption,DC,1986 Assumption
Frank Solich,1986,Nebraska,RB,1986 Nebraska
Mike Gundy,1986,Oklahoma State,player,1986 Oklahoma State
Brady Hoke,1986,Western Michigan,DL,1986 Western Michigan
Steve Campbell,1986,Troy State,player,1986 Troy State
Gary Patterson,1986,UC Davis,LB,1986 UC Davis
Jimbo Fisher,1986,Salem,player,1986 Salem
Willie Fritz,1986,Willis HS (TX),Asst,1986 Willis HS (TX)
Kyle Whittingham,1986,BYU,GA,1986 BYU
Gary Andersen,1986,Utah,player,1986 Utah
Dana Dimel,1986,Kansas State,player,1986 Kansas State
Bronco Mendenhall,1986,Oregon State,player,1986 Oregon State
Dave Clawson,1986,Williams,player,1986 Williams
Paul Chryst,1986,Wisconsin,player,1986 Wisconsin
Craig Bohl,1986,Tulsa,LB,1986 Tulsa
Bob Davie,1986,Texas A&M,OLB,1986 Texas A&M
Bob Stoops,1986,Iowa,Asst,1986 Iowa
Bobby Petrino,1986,Carroll College,OC,1986 Carroll College
Bobby Wilder,1986,Maine,player,1986 Maine
Charlie Strong,1986,Southern Illinois,WR,1986 Southern Illinois
Chris Petersen,1986,UC Davis,player,1986 UC Davis
Rocky Long,1986,BC Lions,LB,1986 BC Lions
Urban Meyer,1986,Ohio State,GA,1986 Ohio State
Mark Dantonio,1986,Youngstown State,DC,1986 Youngstown State
Troy Calhoun,1985,Air Force,player,1985 Air Force
Nick Saban,1985,Michigan State,DC,1985 Michigan State
Kevin Sumlin,1985,Purdue,player,1985 Purdue
Herm Edwards,1985,Eagles,player,1985 Eagles
Sam Pittman,1985,Pittsburg State,GA,1985 Pittsburg State
Jeff Monken,1985,Millikin,player,1985 Millikin
Gus Malzahn,1985,Arkansas,player,1985 Arkansas
Lance Leipold,1985,Wisconsin Whitewater,player,1985 Wisconsin Whitewater
Jim McElwain,1985,Eastern Washington,GA,1985 Eastern Washington
Steve Addazio,1985,Western Connecticut State,OL,1985 Western Connecticut State
Randy Edsall,1985,Syracuse,TE,1985 Syracuse
David Cutcliffe,1985,Tennessee,TE,1985 Tennessee
Butch Davis,1985,Miami FL,DL,1985 Miami FL
Lovie Smith,1985,Tulsa,LB,1985 Tulsa
Kirk Ferentz,1985,Iowa,OL,1985 Iowa
Les Miles,1985,Colorado,OL,1985 Colorado
Scott Satterfield,1985,Carroll (MT),OC,1985 Carroll (MT)
Ed Orgeron,1985,McNeese State,GA,1985 McNeese State
Doc Holliday,1985,West Virginia,WR,1985 West Virginia
Jim Harbaugh,1985,Michigan,player,1985 Michigan
Rick Stockstill,1985,Central Florida,WR,1985 Central Florida
Jay Norvell,1985,Iowa,player,1985 Iowa
Mack Brown,1985,Tulane,HC,1985 Tulane
Brian Kelly,1985,Assumption,DC,1985 Assumption
Frank Solich,1985,Nebraska,RB,1985 Nebraska
Pat Narduzzi,1985,Youngstown State,player,1985 Youngstown State
Brady Hoke,1985,Western Michigan,DL,1985 Western Michigan
Steve Campbell,1985,Southeastern Louisiana,player,1985 Southeastern Louisiana
Dino Babers,1985,Arizona State,GA,1985 Arizona State
Jimbo Fisher,1985,Salem,player,1985 Salem
Willie Fritz,1985,Sam Houston State,GA,1985 Sam Houston State
Kyle Whittingham,1985,BYU,GA,1985 BYU
Gary Andersen,1985,Utah,player,1985 Utah
Dana Dimel,1985,Kansas State,player,1985 Kansas State
Bronco Mendenhall,1985,Snow College,player,1985 Snow College
Dave Clawson,1985,Williams,player,1985 Williams
Craig Bohl,1985,Tulsa,LB,1985 Tulsa
Bob Davie,1985,Texas A&M,OLB,1985 Texas A&M
Bob Stoops,1985,Iowa,Asst,1985 Iowa
Bobby Petrino,1985,Carroll College,OC,1985 Carroll College
Bobby Wilder,1985,Maine,player,1985 Maine
Charlie Strong,1985,Texas A&M,GA,1985 Texas A&M
Chris Petersen,1985,UC Davis,player,1985 UC Davis
Rocky Long,1985,Wyoming,DC,1985 Wyoming
Urban Meyer,1985,St Xavier HS (OH),DB,1985 St Xavier HS (OH)
Mark Dantonio,1985,Akron,DB,1985 Akron
Nick Saban,1984,Michigan State,DC,1984 Michigan State
Kevin Sumlin,1984,Purdue,player,1984 Purdue
Herm Edwards,1984,Eagles,player,1984 Eagles
Sam Pittman,1984,Pittsburg State,GA,1984 Pittsburg State
Gus Malzahn,1984,Arkansas,player,1984 Arkansas
Lance Leipold,1984,Wisconsin Whitewater,player,1984 Wisconsin Whitewater
Randy Edsall,1984,Syracuse,RB,1984 Syracuse
David Cutcliffe,1984,Tennessee,TE,1984 Tennessee
Butch Davis,1984,Miami FL,DL,1984 Miami FL
Lovie Smith,1984,Tulsa,LB,1984 Tulsa
Kirk Ferentz,1984,Iowa,OL,1984 Iowa
Les Miles,1984,Colorado,OL,1984 Colorado
Scott Satterfield,1984,Weber State,GA,1984 Weber State
Ed Orgeron,1984,Northwestern State,GA,1984 Northwestern State
Doc Holliday,1984,West Virginia,WR,1984 West Virginia
Jim Harbaugh,1984,Michigan,player,1984 Michigan
Rick Stockstill,1984,Bethune-Cookman,OC,1984 Bethune-Cookman
Jay Norvell,1984,Iowa,player,1984 Iowa
Doug Martin,1984,Kentucky,player,1984 Kentucky
Mack Brown,1984,Oklahoma,OC,1984 Oklahoma
Brian Kelly,1984,Assumption,DC,1984 Assumption
Frank Solich,1984,Nebraska,RB,1984 Nebraska
Brady Hoke,1984,Western Michigan,DL,1984 Western Michigan
Steve Campbell,1984,Southeastern Louisiana,player,1984 Southeastern Louisiana
Dino Babers,1984,Hawaii,GA,1984 Hawaii
Gary Patterson,1984,Tennessee Tech,LB,1984 Tennessee Tech
Willie Fritz,1984,Sam Houston State,GA,1984 Sam Houston State
Kyle Whittingham,1984,New Orleans Breakers,player,1984 New Orleans Breakers
Gary Andersen,1984,Ricks College,player,1984 Ricks College
Dana Dimel,1984,Kansas State,player,1984 Kansas State
Bronco Mendenhall,1984,Snow College,player,1984 Snow College
Craig Bohl,1984,North Dakota State,DB,1984 North Dakota State
Bob Davie,1984,Tulane,DC,1984 Tulane
Bob Stoops,1984,Iowa,GA,1984 Iowa
Bobby Petrino,1984,Weber State,GA,1984 Weber State
Bobby Wilder,1984,Maine,player,1984 Maine
Charlie Strong,1984,Florida,GA,1984 Florida
Chris Petersen,1984,Sacramento CC,player,1984 Sacramento CC
Rocky Long,1984,Wyoming,DC,1984 Wyoming
Mark Dantonio,1984,Ohio State,GA,1984 Ohio State
Nick Saban,1983,Michigan State,DC,1983 Michigan State
Kevin Sumlin,1983,Purdue,player,1983 Purdue
Herm Edwards,1983,Eagles,player,1983 Eagles
Sam Pittman,1983,Pittsburg State,player,1983 Pittsburg State
Lance Leipold,1983,Wisconsin Whitewater,player,1983 Wisconsin Whitewater
Jim McElwain,1983,Eastern Washington,player,1983 Eastern Washington
Joe Moglia,1983,Dartmouth,DC,1983 Dartmouth
Randy Edsall,1983,Syracuse,RB,1983 Syracuse
David Cutcliffe,1983,Tennessee,TE,1983 Tennessee
Butch Davis,1983,Oklahoma State,WR,1983 Oklahoma State
Lovie Smith,1983,Tulsa,LB,1983 Tulsa
Kirk Ferentz,1983,Iowa,OL,1983 Iowa
Les Miles,1983,Colorado,OL,1983 Colorado
Scott Satterfield,1983,Carroll (MT),GA,1983 Carroll (MT)
Ed Orgeron,1983,Northwestern State,player,1983 Northwestern State
Doc Holliday,1983,West Virginia,WR,1983 West Virginia
Jim Harbaugh,1983,Michigan,player,1983 Michigan
Rick Stockstill,1983,Bethune-Cookman,OC,1983 Bethune-Cookman
Jay Norvell,1983,Iowa,player,1983 Iowa
Doug Martin,1983,Kentucky,player,1983 Kentucky
Mack Brown,1983,Appalachian State,HC,1983 Appalachian State
Brian Kelly,1983,Assumption,DC,1983 Assumption
Frank Solich,1983,Nebraska,RB,1983 Nebraska
Brady Hoke,1983,Grand Valley State,DL,1983 Grand Valley State
Dino Babers,1983,Hawaii,player,1983 Hawaii
Gary Patterson,1983,Tennessee Tech,LB,1983 Tennessee Tech
Willie Fritz,1983,Shawnee Mission NW HS (KS),Asst,1983 Shawnee Mission NW HS (KS)
Kyle Whittingham,1983,Denver Gold,player,1983 Denver Gold
Craig Bohl,1983,Nebraska,GA,1983 Nebraska
Bob Davie,1983,Tulane,DC,1983 Tulane
Bob Stoops,1983,Iowa,GA,1983 Iowa
Bobby Petrino,1983,Carroll College,GA,1983 Carroll College
Bobby Wilder,1983,Maine,player,1983 Maine
Charlie Strong,1983,Central Arkansas,player,1983 Central Arkansas
Chris Petersen,1983,Sacramento CC,player,1983 Sacramento CC
Rocky Long,1983,Wyoming,DC,1983 Wyoming
Mark Dantonio,1983,Ohio State,GA,1983 Ohio State
Nick Saban,1982,Navy,DB,1982 Navy
Herm Edwards,1982,Eagles,player,1982 Eagles
Sam Pittman,1982,Pittsburg State,player,1982 Pittsburg State
Jim McElwain,1982,Eastern Washington,player,1982 Eastern Washington
Joe Moglia,1982,Dartmouth,DC,1982 Dartmouth
Randy Edsall,1982,Syracuse,GA,1982 Syracuse
David Cutcliffe,1982,Tennessee,Asst,1982 Tennessee
Butch Davis,1982,Oklahoma State,WR,1982 Oklahoma State
Lovie Smith,1982,Cascia Hall Prep,WR,1982 Cascia Hall Prep
Kirk Ferentz,1982,Iowa,OL,1982 Iowa
Les Miles,1982,Colorado,OL,1982 Colorado
Scott Satterfield,1982,Carroll (MT),player,1982 Carroll (MT)
Ed Orgeron,1982,Northwestern State,player,1982 Northwestern State
Doc Holliday,1982,West Virginia,GA,1982 West Virginia
Jim Harbaugh,1982,Michigan,player,1982 Michigan
Jay Norvell,1982,Iowa,player,1982 Iowa
Doug Martin,1982,Kentucky,player,1982 Kentucky
Mack Brown,1982,LSU,QB,1982 LSU
Brian Kelly,1982,Assumption,player,1982 Assumption
Frank Solich,1982,Nebraska,freshmen,1982 Nebraska
Brady Hoke,1982,Yorktown HS (IN),DC,1982 Yorktown HS (IN)
Dino Babers,1982,Hawaii,player,1982 Hawaii
Gary Patterson,1982,Kansas State,GA,1982 Kansas State
Willie Fritz,1982,Pittsburg State,staff,1982 Pittsburg State
Craig Bohl,1982,Nebraska,GA,1982 Nebraska
Bob Davie,1982,Pitt,LB,1982 Pitt
Bob Stoops,1982,Iowa,player,1982 Iowa
Bobby Petrino,1982,Carroll College,player,1982 Carroll College
Charlie Strong,1982,Central Arkansas,player,1982 Central Arkansas
Jeff Tedford,1982,Fresno State,player,1982 Fresno State
Rocky Long,1982,Wyoming,DC,1982 Wyoming
Mark Dantonio,1982,Butler CC,DC,1982 Butler CC
Nick Saban,1981,Ohio State,DB,1981 Ohio State
Herm Edwards,1981,Eagles,player,1981 Eagles
Sam Pittman,1981,Pittsburg State,player,1981 Pittsburg State
Jim McElwain,1981,Eastern Washington,player,1981 Eastern Washington
Joe Moglia,1981,Dartmouth,DC,1981 Dartmouth
Steve Addazio,1981,Central Connecticut,player,1981 Central Connecticut
Randy Edsall,1981,Syracuse,GA,1981 Syracuse
David Cutcliffe,1981,Banks HS (AL),HC,1981 Banks HS (AL)
Butch Davis,1981,Oklahoma State,WR,1981 Oklahoma State
Lovie Smith,1981,Cascia Hall Prep,WR,1981 Cascia Hall Prep
Kirk Ferentz,1981,Iowa,OL,1981 Iowa
Les Miles,1981,Michigan,GA,1981 Michigan
Scott Satterfield,1981,Carroll (MT),player,1981 Carroll (MT)
Ed Orgeron,1981,Northwestern State,player,1981 Northwestern State
Doc Holliday,1981,West Virginia,GA,1981 West Virginia
Rick Stockstill,1981,Florida State,player,1981 Florida State
Doug Martin,1981,Kentucky,player,1981 Kentucky
Mack Brown,1981,Iowa State,OC,1981 Iowa State
Brian Kelly,1981,Assumption,player,1981 Assumption
Frank Solich,1981,Nebraska,freshmen,1981 Nebraska
Brady Hoke,1981,Yorktown HS (IN),DC,1981 Yorktown HS (IN)
Dino Babers,1981,Hawaii,player,1981 Hawaii
Gary Patterson,1981,Kansas State,player,1981 Kansas State
Willie Fritz,1981,Pittsburg State,player,1981 Pittsburg State
Kyle Whittingham,1981,BYU,player,1981 BYU
Craig Bohl,1981,Nebraska,GA,1981 Nebraska
Bob Davie,1981,Pitt,LB,1981 Pitt
Bob Stoops,1981,Iowa,player,1981 Iowa
Bobby Petrino,1981,Carroll College,player,1981 Carroll College
Charlie Strong,1981,Central Arkansas,player,1981 Central Arkansas
Jeff Tedford,1981,Fresno State,player,1981 Fresno State
Rocky Long,1981,Wyoming,DC,1981 Wyoming
Mark Dantonio,1981,Purdue,GA,1981 Purdue
Nick Saban,1980,Ohio State,DB,1980 Ohio State
Herm Edwards,1980,Eagles,player,1980 Eagles
Sam Pittman,1980,Pittsburg State,player,1980 Pittsburg State
Jim McElwain,1980,Eastern Washington,player,1980 Eastern Washington
Joe Moglia,1980,Lafayette,DC,1980 Lafayette
Steve Addazio,1980,Central Connecticut,player,1980 Central Connecticut
Randy Edsall,1980,Syracuse,GA,1980 Syracuse
David Cutcliffe,1980,Banks HS (AL),HC,1980 Banks HS (AL)
Butch Davis,1980,Oklahoma State,WR,1980 Oklahoma State
Lovie Smith,1980,Big Sandy HS (TX),DC,1980 Big Sandy HS (TX)
Kirk Ferentz,1980,Pitt,GA,1980 Pitt
Les Miles,1980,Michigan,GA,1980 Michigan
Scott Satterfield,1980,Carroll (MT),player,1980 Carroll (MT)
Ed Orgeron,1980,Northwestern State,player,1980 Northwestern State
Doc Holliday,1980,West Virginia,GA,1980 West Virginia
Rick Stockstill,1980,Florida State,player,1980 Florida State
Mack Brown,1980,Iowa State,OC,1980 Iowa State
Brian Kelly,1980,Assumption,player,1980 Assumption
Frank Solich,1980,Nebraska,freshmen,1980 Nebraska
Brady Hoke,1980,Ball State,player,1980 Ball State
Dino Babers,1980,Hawaii,player,1980 Hawaii
Gary Patterson,1980,Kansas State,player,1980 Kansas State
Willie Fritz,1980,Pittsburg State,player,1980 Pittsburg State
Kyle Whittingham,1980,BYU,player,1980 BYU
Bob Davie,1980,Pitt,LB,1980 Pitt
Bob Stoops,1980,Iowa,player,1980 Iowa
Bobby Petrino,1980,Carroll College,player,1980 Carroll College
Charlie Strong,1980,Central Arkansas,player,1980 Central Arkansas
Rocky Long,1980,New Mexico,DB,1980 New Mexico
Mark Dantonio,1980,Ohio,GA,1980 Ohio
Nick Saban,1979,West Virginia,DB,1979 West Virginia
Herm Edwards,1979,Eagles,player,1979 Eagles
Joe Moglia,1979,Lafayette,DC,1979 Lafayette
Steve Addazio,1979,Central Connecticut,player,1979 Central Connecticut
Randy Edsall,1979,Syracuse,player,1979 Syracuse
David Cutcliffe,1979,Banks HS (AL),Asst,1979 Banks HS (AL)
Butch Davis,1979,Oklahoma State,WR,1979 Oklahoma State
Lovie Smith,1979,Tulsa,player,1979 Tulsa
Kirk Ferentz,1979,Worcester Academy,DC,1979 Worcester Academy
Ed Orgeron,1979,LSU,player,1979 LSU
Doc Holliday,1979,West Virginia,GA,1979 West Virginia
Rick Stockstill,1979,Florida State,player,1979 Florida State
Mack Brown,1979,Iowa State,WR,1979 Iowa State
Brian Kelly,1979,Assumption,player,1979 Assumption
Frank Solich,1979,Nebraska,freshmen,1979 Nebraska
Brady Hoke,1979,Ball State,player,1979 Ball State
Dino Babers,1979,Hawaii,player,1979 Hawaii
Gary Patterson,1979,Dodge City CC,player,1979 Dodge City CC
Willie Fritz,1979,Pittsburg State,player,1979 Pittsburg State
Kyle Whittingham,1979,BYU,player,1979 BYU
Craig Bohl,1979,Nebraska,player,1979 Nebraska
Bob Davie,1979,Arizona,LB,1979 Arizona
Bob Stoops,1979,Iowa,player,1979 Iowa
Rocky Long,1979,New Mexico,DB,1979 New Mexico
Nick Saban,1978,West Virginia,DB,1978 West Virginia
Herm Edwards,1978,Eagles,player,1978 Eagles
Joe Moglia,1978,Lafayette,DC,1978 Lafayette
Steve Addazio,1978,Central Connecticut,player,1978 Central Connecticut
Randy Edsall,1978,Syracuse,player,1978 Syracuse
David Cutcliffe,1978,Banks HS (AL),Asst,1978 Banks HS (AL)
Butch Davis,1978,Will Rogers HS (OK),HC,1978 Will Rogers HS (OK)
Lovie Smith,1978,Tulsa,player,1978 Tulsa
Kirk Ferentz,1978,Worcester Academy,DC,1978 Worcester Academy
Doc Holliday,1978,West Virginia,player,1978 West Virginia
Rick Stockstill,1978,Florida State,player,1978 Florida State
Mack Brown,1978,Memphis,WR,1978 Memphis
Frank Solich,1978,Lincoln Southeast HS (NE),HC,1978 Lincoln Southeast HS (NE)
Brady Hoke,1978,Ball State,player,1978 Ball State
Gary Patterson,1978,Dodge City CC,player,1978 Dodge City CC
Willie Fritz,1978,Pittsburg State,player,1978 Pittsburg State
Kyle Whittingham,1978,BYU,player,1978 BYU
Craig Bohl,1978,Nebraska,player,1978 Nebraska
Bob Davie,1978,Arizona,LB,1978 Arizona
Rocky Long,1978,New Mexico,OB,1978 New Mexico
Mark Dantonio,1978,South Carolina,player,1978 South Carolina
Nick Saban,1977,Syracuse,OLB,1977 Syracuse
Herm Edwards,1977,Eagles,player,1977 Eagles
Joe Moglia,1977,Penncrest HS (PA),HC,1977 Penncrest HS (PA)
Randy Edsall,1977,Syracuse,player,1977 Syracuse
David Cutcliffe,1977,Banks HS (AL),Asst,1977 Banks HS (AL)
Butch Davis,1977,Charles Page HS (OK),DC,1977 Charles Page HS (OK)
Lovie Smith,1977,Tulsa,player,1977 Tulsa
Kirk Ferentz,1977,Connecticut,GA,1977 Connecticut
Doc Holliday,1977,West Virginia,player,1977 West Virginia
Rick Stockstill,1977,Florida State,player,1977 Florida State
Mack Brown,1977,Southern Miss,WR,1977 Southern Miss
Frank Solich,1977,Lincoln Southeast HS (NE),HC,1977 Lincoln Southeast HS (NE)
Brady Hoke,1977,Ball State,player,1977 Ball State
Craig Bohl,1977,Nebraska,player,1977 Nebraska
Bob Davie,1977,Pitt,GA,1977 Pitt
Mark Dantonio,1977,South Carolina,player,1977 South Carolina
Nick Saban,1976,Kent State,LB,1976 Kent State
Joe Moglia,1976,Penncrest HS (PA),HC,1976 Penncrest HS (PA)
Randy Edsall,1976,Syracuse,player,1976 Syracuse
David Cutcliffe,1976,Banks HS (AL),Asst,1976 Banks HS (AL)
Butch Davis,1976,Charles Page HS (OK),DC,1976 Charles Page HS (OK)
Lovie Smith,1976,Tulsa,player,1976 Tulsa
Kirk Ferentz,1976,Connecticut,player,1976 Connecticut
Doc Holliday,1976,West Virginia,player,1976 West Virginia
Mack Brown,1976,Southern Miss,WR,1976 Southern Miss
Frank Solich,1976,Lincoln Southeast HS (NE),HC,1976 Lincoln Southeast HS (NE)
Mark Dantonio,1976,South Carolina,player,1976 South Carolina
Nick Saban,1975,Kent State,LB,1975 Kent State
Herm Edwards,1975,San Diego State,player,1975 San Diego State
Joe Moglia,1975,Penncrest HS (PA),HC,1975 Penncrest HS (PA)
Butch Davis,1975,Pawhuska HS (OK),DC,1975 Pawhuska HS (OK)
Kirk Ferentz,1975,Connecticut,player,1975 Connecticut
Les Miles,1975,Michigan,player,1975 Michigan
Mack Brown,1975,Southern Miss,WR,1975 Southern Miss
Frank Solich,1975,Lincoln Southeast HS (NE),HC,1975 Lincoln Southeast HS (NE)
Bob Davie,1975,Youngstown State,player,1975 Youngstown State
Rocky Long,1975,Eldorado HS (NM),Asst,1975 Eldorado HS (NM)
Nick Saban,1974,Kent State,GA,1974 Kent State
Herm Edwards,1974,California,player,1974 California
Joe Moglia,1974,Archmere Academy (DE),HC,1974 Archmere Academy (DE)
Butch Davis,1974,Pawhuska HS (OK),DC,1974 Pawhuska HS (OK)
Kirk Ferentz,1974,Connecticut,player,1974 Connecticut
Les Miles,1974,Michigan,player,1974 Michigan
Mack Brown,1974,Florida State,WR,1974 Florida State
Frank Solich,1974,Lincoln Southeast HS (NE),HC,1974 Lincoln Southeast HS (NE)
Bob Davie,1974,Youngstown State,player,1974 Youngstown State
Rocky Long,1974,Eldorado HS (NM),Asst,1974 Eldorado HS (NM)
Nick Saban,1973,Kent State,GA,1973 Kent State
Herm Edwards,1973,Monterey Peninsula JC,player,1973 Monterey Peninsula JC
Joe Moglia,1973,Archmere Academy (DE),HC,1973 Archmere Academy (DE)
Butch Davis,1973,Fayetteville HS (AR),DC,1973 Fayetteville HS (AR)
Mack Brown,1973,Florida State,player,1973 Florida State
Frank Solich,1973,Lincoln Southeast HS (NE),HC,1973 Lincoln Southeast HS (NE)
Bob Davie,1973,Youngstown State,player,1973 Youngstown State
Rocky Long,1973,New Mexico,GA,1973 New Mexico
Nick Saban,1972,Kent State,player,1972 Kent State
Herm Edwards,1972,California,player,1972 California
Joe Moglia,1972,Archmere Academy (DE),HC,1972 Archmere Academy (DE)
Mack Brown,1972,Florida State,player,1972 Florida State
Frank Solich,1972,Lincoln Southeast HS (NE),HC,1972 Lincoln Southeast HS (NE)
Rocky Long,1972,New Mexico,GA,1972 New Mexico
Nick Saban,1971,Kent State,player,1971 Kent State
Joe Moglia,1971,Archmere Academy (DE),HC,1971 Archmere Academy (DE)
